title,price,rating,in_stock,category,url,source,scraped_at,price_category,rating_category,title_length,title_word_count,value_score
Bossypants,49.46,2,1,Unknown,http://books.toscrape.com/bossypants_883/index.html,books_toscrape,2025-09-25 08:58:36.258940,Medium,Poor,10,1,0.03963535473642489
"Bitch Planet, Vol. 1: Extraordinary Machine Bitch Planet Collected Editions",37.92,2,1,Unknown,http://books.toscrape.com/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,books_toscrape,2025-09-25 08:58:44.231809,Medium,Poor,75,10,0.051387461459403906
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 Smoke and Shadow 3",28.09,2,1,Unknown,http://books.toscrape.com/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,books_toscrape,2025-09-25 08:58:52.737601,Medium,Poor,71,13,0.06875214850464077
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,1,Unknown,http://books.toscrape.com/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,books_toscrape,2025-09-25 08:59:02.913812,Medium,Poor,62,10,0.03143665513989312
A World of Flavor: Your Gluten Free Passport,42.95,1,1,Unknown,http://books.toscrape.com/a-world-of-flavor-your-gluten-free-passport_879/index.html,books_toscrape,2025-09-25 08:59:10.055482,Medium,Poor,44,8,0.022753128555176336
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,1,Unknown,http://books.toscrape.com/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,books_toscrape,2025-09-25 08:59:14.924606,High,Excellent,61,13,0.0865650969529086
A Murder in Time,16.64,1,1,Unknown,http://books.toscrape.com/a-murder-in-time_877/index.html,books_toscrape,2025-09-25 08:59:22.291946,Low,Poor,16,4,0.056689342403628114
A Flight of Arrows The Pathfinders 2,55.53,5,1,Unknown,http://books.toscrape.com/a-flight-of-arrows-the-pathfinders-2_876/index.html,books_toscrape,2025-09-25 08:59:27.672006,High,Excellent,36,7,0.0884486113568017
A Fierce and Subtle Poison,28.13,4,1,Unknown,http://books.toscrape.com/a-fierce-and-subtle-poison_875/index.html,books_toscrape,2025-09-25 08:59:35.452825,Medium,Good,26,5,0.13731548232063165
A Court of Thorns and Roses A Court of Thorns and Roses 1,52.37,1,1,Unknown,http://books.toscrape.com/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,books_toscrape,2025-09-25 08:59:43.638030,High,Poor,57,13,0.01873711823121604
UnQualified: How God Uses Broken People to Do Big Things,54.0,5,1,Unknown,http://books.toscrape.com/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,books_toscrape,2025-09-25 08:59:49.117570,High,Excellent,56,10,0.09090909090909091
You Are What You Love: The Spiritual Power of Habit,21.87,4,1,Unknown,http://books.toscrape.com/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,books_toscrape,2025-09-25 08:59:55.126705,Low,Good,51,10,0.17490161783996502
"William Shakespeares Star Wars: Verily, A New Hope William Shakespeares Star Wars 4",43.3,4,1,Unknown,http://books.toscrape.com/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,books_toscrape,2025-09-25 09:00:03.358232,Medium,Good,83,13,0.09029345372460497
Tuesday Nights in 1980,21.04,2,1,Unknown,http://books.toscrape.com/tuesday-nights-in-1980_870/index.html,books_toscrape,2025-09-25 09:00:10.895581,Low,Poor,22,4,0.09074410163339383
Tracing Numbers on a Train,41.6,3,1,Unknown,http://books.toscrape.com/tracing-numbers-on-a-train_869/index.html,books_toscrape,2025-09-25 09:00:18.533677,Medium,Fair,26,5,0.07042253521126761
Throne of Glass Throne of Glass 1,35.07,3,1,Unknown,http://books.toscrape.com/throne-of-glass-throne-of-glass-1_868/index.html,books_toscrape,2025-09-25 09:00:26.525757,Medium,Fair,33,7,0.08317161075686166
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,58.0803,1,1,Unknown,http://books.toscrape.com/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,books_toscrape,2025-09-25 09:00:31.576774,High,Poor,89,13,0.016926115811869608
Thirteen Reasons Why,52.72,1,1,Unknown,http://books.toscrape.com/thirteen-reasons-why_866/index.html,books_toscrape,2025-09-25 09:00:38.296076,High,Poor,20,3,0.018615040953090096
The White Cat and the Monk: A Retelling of the Poem Pangur Ban,58.08,4,1,Unknown,http://books.toscrape.com/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,books_toscrape,2025-09-25 09:00:43.588784,High,Good,62,13,0.06770480704129993
The Wedding Dress,24.12,1,1,Unknown,http://books.toscrape.com/the-wedding-dress_864/index.html,books_toscrape,2025-09-25 09:00:50.544987,Low,Poor,17,3,0.03980891719745223
The Vacationers,42.15,4,1,Unknown,http://books.toscrape.com/the-vacationers_863/index.html,books_toscrape,2025-09-25 09:00:57.434860,Medium,Good,15,2,0.09269988412514485
The Third Wave: An Entrepreneurs Vision of the Future,12.61,5,1,Unknown,http://books.toscrape.com/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,books_toscrape,2025-09-25 09:01:03.978012,Low,Excellent,53,9,0.36737692872887584
The Stranger,17.44,4,1,Unknown,http://books.toscrape.com/the-stranger_861/index.html,books_toscrape,2025-09-25 09:01:11.488054,Low,Good,12,2,0.21691973969631234
The Shadow Hero The Shadow Hero,33.14,1,1,Unknown,http://books.toscrape.com/the-shadow-hero-the-shadow-hero_860/index.html,books_toscrape,2025-09-25 09:01:21.969560,Medium,Poor,31,6,0.029291154071470416
The Secret The Secret 1,27.37,4,1,Unknown,http://books.toscrape.com/the-secret-the-secret-1_859/index.html,books_toscrape,2025-09-25 09:01:28.308970,Medium,Good,23,5,0.14099400775467041
The Regional Office Is Under Attack!,51.36,5,1,Unknown,http://books.toscrape.com/the-regional-office-is-under-attack_858/index.html,books_toscrape,2025-09-25 09:01:36.618637,High,Excellent,36,6,0.09549274255156608
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,1,Unknown,http://books.toscrape.com/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,books_toscrape,2025-09-25 09:01:44.109501,Medium,Poor,59,9,0.05405405405405406
The Project,10.65,1,1,Unknown,http://books.toscrape.com/the-project_856/index.html,books_toscrape,2025-09-25 09:01:49.405604,Low,Poor,11,2,0.08583690987124463
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,1,Unknown,http://books.toscrape.com/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,books_toscrape,2025-09-25 09:01:57.209221,Medium,Poor,52,9,0.0449034575662326
The Omnivores Dilemma: A Natural History of Four Meals,38.21,2,1,Unknown,http://books.toscrape.com/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,books_toscrape,2025-09-25 09:02:03.934264,Medium,Poor,54,9,0.0510073960724305
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,1,Unknown,http://books.toscrape.com/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,books_toscrape,2025-09-25 09:02:10.098297,Medium,Excellent,66,13,0.13041210224308813
The Murder of Roger Ackroyd Hercule Poirot 4,44.1,4,1,Unknown,http://books.toscrape.com/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,books_toscrape,2025-09-25 09:02:17.339523,Medium,Good,44,8,0.08869179600886917
The Mistake Off-Campus 2,43.29,3,1,Unknown,http://books.toscrape.com/the-mistake-off-campus-2_851/index.html,books_toscrape,2025-09-25 09:02:25.000909,Medium,Fair,24,4,0.06773538044705352
The Matchmakers Playbook Wingmen Inc. 1,55.85,1,1,Unknown,http://books.toscrape.com/the-matchmakers-playbook-wingmen-inc-1_850/index.html,books_toscrape,2025-09-25 09:02:31.007411,High,Poor,39,6,0.017590149516270887
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,1,Unknown,http://books.toscrape.com/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,books_toscrape,2025-09-25 09:02:38.019563,Medium,Poor,83,11,0.05181347150259067
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,1,Unknown,http://books.toscrape.com/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,books_toscrape,2025-09-25 09:02:45.485770,Low,Poor,70,13,0.0835421888053467
The Kite Runner,41.82,4,1,Unknown,http://books.toscrape.com/the-kite-runner_847/index.html,books_toscrape,2025-09-25 09:02:51.973570,Medium,Good,15,3,0.09341429238673517
The House by the Lake,36.95,1,1,Unknown,http://books.toscrape.com/the-house-by-the-lake_846/index.html,books_toscrape,2025-09-25 09:02:57.604635,Medium,Poor,21,5,0.026350461133069828
The Glittering Court The Glittering Court 1,44.28,1,1,Unknown,http://books.toscrape.com/the-glittering-court-the-glittering-court-1_845/index.html,books_toscrape,2025-09-25 09:03:05.413255,Medium,Poor,43,7,0.022084805653710248
The Girl on the Train,55.02,2,1,Unknown,http://books.toscrape.com/the-girl-on-the-train_844/index.html,books_toscrape,2025-09-25 09:03:14.140404,High,Poor,21,5,0.035701535166012134
The Genius of Birds,17.24,1,1,Unknown,http://books.toscrape.com/the-genius-of-birds_843/index.html,books_toscrape,2025-09-25 09:03:21.237424,Low,Poor,19,4,0.054824561403508776
The Emerald Mystery,23.15,2,1,Unknown,http://books.toscrape.com/the-emerald-mystery_842/index.html,books_toscrape,2025-09-25 09:03:29.156874,Low,Poor,19,3,0.08281573498964803
The Cookies  Cups Cookbook: 125 sweet  savory recipes reminding you to Always Eat Dessert First,41.25,1,1,Unknown,http://books.toscrape.com/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,books_toscrape,2025-09-25 09:03:36.013326,Medium,Poor,95,15,0.023668639053254437
The Bridge to Consciousness: Im Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,1,Unknown,http://books.toscrape.com/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,books_toscrape,2025-09-25 09:03:44.355919,Medium,Fair,95,16,0.09090909090909091
The Artists Way: A Spiritual Path to Higher Creativity,38.49,5,1,Unknown,http://books.toscrape.com/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,books_toscrape,2025-09-25 09:03:51.104600,Medium,Excellent,54,9,0.12661433274246645
The Art of War,33.34,5,1,Unknown,http://books.toscrape.com/the-art-of-war_838/index.html,books_toscrape,2025-09-25 09:03:57.694502,Medium,Excellent,14,4,0.145602795573675
The Argonauts,10.93,2,1,Unknown,http://books.toscrape.com/the-argonauts_837/index.html,books_toscrape,2025-09-25 09:04:04.135167,Low,Poor,13,2,0.16764459346186086
The 10 Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,1,Unknown,http://books.toscrape.com/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,books_toscrape,2025-09-25 09:04:09.298321,Medium,Fair,74,12,0.10507880910683012
Suddenly in Love Lake Haven 1,55.99,2,1,Unknown,http://books.toscrape.com/suddenly-in-love-lake-haven-1_835/index.html,books_toscrape,2025-09-25 09:04:16.497439,High,Poor,29,6,0.0350938761186173
Something More Than This,16.24,4,1,Unknown,http://books.toscrape.com/something-more-than-this_834/index.html,books_toscrape,2025-09-25 09:04:22.582809,Low,Good,24,4,0.2320185614849188
Soft Apocalypse,26.12,2,1,Unknown,http://books.toscrape.com/soft-apocalypse_833/index.html,books_toscrape,2025-09-25 09:04:30.833447,Medium,Poor,15,2,0.07374631268436578
So Youve Been Publicly Shamed,12.23,2,1,Unknown,http://books.toscrape.com/so-youve-been-publicly-shamed_832/index.html,books_toscrape,2025-09-25 09:04:38.539978,Low,Poor,29,5,0.15117157974300832
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,1,Unknown,http://books.toscrape.com/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,books_toscrape,2025-09-25 09:04:43.684233,Low,Poor,41,9,0.08003201280512205
"Shobu Samurai, Project Aryoku 3",29.06,3,1,Unknown,http://books.toscrape.com/shobu-samurai-project-aryoku-3_830/index.html,books_toscrape,2025-09-25 09:04:48.909856,Medium,Fair,31,5,0.0998003992015968
Secrets and Lace Fatal Hearts 1,20.27,1,1,Unknown,http://books.toscrape.com/secrets-and-lace-fatal-hearts-1_829/index.html,books_toscrape,2025-09-25 09:04:54.769662,Low,Poor,31,6,0.047014574518100614
Scarlett Epstein Hates It Here,43.55,5,1,Unknown,http://books.toscrape.com/scarlett-epstein-hates-it-here_828/index.html,books_toscrape,2025-09-25 09:05:01.443908,Medium,Excellent,30,5,0.1122334455667789
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,1,Unknown,http://books.toscrape.com/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,books_toscrape,2025-09-25 09:05:10.183023,Medium,Poor,52,10,0.02635740643120717
Redeeming Love,20.47,5,1,Unknown,http://books.toscrape.com/redeeming-love_826/index.html,books_toscrape,2025-09-25 09:05:16.998389,Low,Excellent,14,2,0.2328830926874709
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,1,Unknown,http://books.toscrape.com/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,books_toscrape,2025-09-25 09:05:21.610224,Medium,Poor,116,20,0.02377555872563005
Poems That Make Grown Women Cry,14.19,4,1,Unknown,http://books.toscrape.com/poems-that-make-grown-women-cry_824/index.html,books_toscrape,2025-09-25 09:05:30.270347,Low,Good,31,6,0.2633311389071758
"Nightingale, Sing",38.28,1,1,Unknown,http://books.toscrape.com/nightingale-sing_823/index.html,books_toscrape,2025-09-25 09:05:36.088212,Medium,Poor,17,2,0.02545824847250509
Night Sky with Exit Wounds,41.05,1,1,Unknown,http://books.toscrape.com/night-sky-with-exit-wounds_822/index.html,books_toscrape,2025-09-25 09:05:42.179984,Medium,Poor,26,5,0.023781212841854936
Mrs. Houdini,30.25,5,1,Unknown,http://books.toscrape.com/mrs-houdini_821/index.html,books_toscrape,2025-09-25 09:05:48.116253,Medium,Excellent,12,2,0.16
Modern Romance,28.26,5,1,Unknown,http://books.toscrape.com/modern-romance_820/index.html,books_toscrape,2025-09-25 09:05:55.217845,Medium,Excellent,14,2,0.17088174982911825
Miss Peregrines Home for Peculiar Children Miss Peregrines Peculiar Children 1,10.76,1,1,Unknown,http://books.toscrape.com/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,books_toscrape,2025-09-25 09:06:02.416336,Low,Poor,78,11,0.08503401360544217
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,1,Unknown,http://books.toscrape.com/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,books_toscrape,2025-09-25 09:06:08.717140,Low,Poor,44,7,0.11204481792717086
Little Red,13.47,3,1,Unknown,http://books.toscrape.com/little-red_817/index.html,books_toscrape,2025-09-25 09:06:16.996259,Low,Fair,10,2,0.2073255010366275
Library of Souls Miss Peregrines Peculiar Children 3,48.56,5,1,Unknown,http://books.toscrape.com/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,books_toscrape,2025-09-25 09:06:24.584127,Medium,Excellent,52,8,0.10088781275221953
Large Print Heart of the Pride,19.15,2,1,Unknown,http://books.toscrape.com/large-print-heart-of-the-pride_815/index.html,books_toscrape,2025-09-25 09:06:31.359583,Low,Poor,30,6,0.09925558312655088
I Had a Nice Time And Other Lies...: How to find love  sht like that,57.36,4,1,Unknown,http://books.toscrape.com/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,books_toscrape,2025-09-25 09:06:37.625217,High,Good,68,15,0.06854009595613433
Hollow City Miss Peregrines Peculiar Children 2,42.98,1,1,Unknown,http://books.toscrape.com/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,books_toscrape,2025-09-25 09:06:42.761281,Medium,Poor,47,7,0.02273760800363802
Grumbles,22.16,2,1,Unknown,http://books.toscrape.com/grumbles_812/index.html,books_toscrape,2025-09-25 09:06:50.103582,Low,Poor,8,1,0.08635578583765112
Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,1,Unknown,http://books.toscrape.com/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,books_toscrape,2025-09-25 09:06:57.928343,Medium,Good,63,12,0.07931786634939521
Frostbite Vampire Academy 2,29.99,5,1,Unknown,http://books.toscrape.com/frostbite-vampire-academy-2_810/index.html,books_toscrape,2025-09-25 09:07:05.622873,Medium,Excellent,27,4,0.16134236850596967
Follow You Home,21.36,1,1,Unknown,http://books.toscrape.com/follow-you-home_809/index.html,books_toscrape,2025-09-25 09:07:13.043856,Low,Poor,15,3,0.044722719141323794
First Steps for New Christians Print Edition,29.0,1,1,Unknown,http://books.toscrape.com/first-steps-for-new-christians-print-edition_808/index.html,books_toscrape,2025-09-25 09:07:19.393442,Medium,Poor,44,7,0.03333333333333333
Finders Keepers Bill Hodges Trilogy 2,53.53,5,1,Unknown,http://books.toscrape.com/finders-keepers-bill-hodges-trilogy-2_807/index.html,books_toscrape,2025-09-25 09:07:25.599011,High,Excellent,37,6,0.09169264624977076
"Fables, Vol. 1: Legends in Exile Fables 1",41.62,4,1,Unknown,http://books.toscrape.com/fables-vol-1-legends-in-exile-fables-1_806/index.html,books_toscrape,2025-09-25 09:07:32.824482,Medium,Good,41,8,0.09385265133740028
Eureka Trivia 6.0,54.59,4,1,Unknown,http://books.toscrape.com/eureka-trivia-60_805/index.html,books_toscrape,2025-09-25 09:07:40.395183,High,Good,17,3,0.07195538765965101
Drive: The Surprising Truth About What Motivates Us,34.95,4,1,Unknown,http://books.toscrape.com/drive-the-surprising-truth-about-what-motivates-us_804/index.html,books_toscrape,2025-09-25 09:07:48.745323,Medium,Good,51,8,0.11126564673157162
Done Rubbed Out Reightman  Bailey 1,37.72,5,1,Unknown,http://books.toscrape.com/done-rubbed-out-reightman-bailey-1_803/index.html,books_toscrape,2025-09-25 09:07:57.354803,Medium,Excellent,35,6,0.1291322314049587
Doing It Over Most Likely To 1,35.61,3,1,Unknown,http://books.toscrape.com/doing-it-over-most-likely-to-1_802/index.html,books_toscrape,2025-09-25 09:08:03.440733,Medium,Fair,30,7,0.08194482381862879
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,1,Unknown,http://books.toscrape.com/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,books_toscrape,2025-09-25 09:08:11.086777,Medium,Fair,107,16,0.06950880444856349
